Прохладительные напитки,,
Бон Аква (газ. Стекло),250мл,125р
Бон Аква (б/г стекло),250мл,125р
Кока-кола (стекло),250мл,125р
Спрайт (стекло),250мл,125р
Red Bull,250мл,200р
Сок Rich,250/1000мл,70/280р
Безалкогольные коктейли,,
Каприз 200мл,"(персиковый сок, сливки, шоколадный сироп, дынный сироп)",180р
Мятная вишня 200мл,"(вишневый сок, яблочный сок, мятный сироп)",180р
Манговый рай	200мл,"(спрайт, яблочный сок, лимонный фреш, сироп дыня, сироп манго)",180р
Милк Шейк с сиропом 250мл,(сироп на ваш выбор,220р
